0	13.08
100	13.08
200	13.07
300	13.06
400	13.05
500	13.03
600	13.01
700	12.98
800	12.94
900	12.91
1000	12.87
1100	12.82
1200	12.77
1215	12.16
1300	12.12
1400	12.06
1500	12.00
1600	11.94
1700	11.87
1800	11.80
1900	11.73
2000	11.65
2100	11.57
2200	11.48
2300	11.39
2400	11.29
2500	11.19
2600	11.08
2700	10.97
2800	10.85
2900	10.73
3000	10.60
3100	10.46
3200	10.32
3300	10.18
3400	10.08
3440	9.90
3480	5.56
3500	5.55
3600	5.50
3630	5.49
3700	5.45
3800	5.4
3900	5.35
4000	5.3
4100	5.25
4200	5.2
4300	5.15
4400	5.1
4500	5.05
4600	5.0
4700	4.95
4800	4.89
4900	4.84
5000	4.78
5100	4.73
5200	4.67
5300	4.62
5400	4.56
5500	4.50
5600	4.44
5650	4.41
5680	4.38
5701	3.99
5736	3.98
5771	3.97
5821	3.91
5871	3.84
5921	3.78
5969	3.72
5971	3.54
6016	3.51
6060	3.48
6106	3.46
6150	3.43
6151	3.36
6221	3.37
6331	3.38
6346	2.69
6355	2.9
6356	2.6
6371	1.02
